feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU01+AU09,combo_2,weighted,795,0.4534486196458027,0.0007894736842105,0.694043321299639,0.9897039897039897,0.8159151193633952
AU05+AU20,combo_2,weighted,795,0.44601664038283756,0.003103448275862,0.6879100281162137,0.9446589446589446,0.7960954446854663
AU23+AU26,combo_2,weighted,795,0.4365254590606703,0.0224561403508771,0.6878354203935599,0.9897039897039897,0.8116094986807387
AU20+AU45,combo_2,weighted,795,0.43272608624721304,inf,0.0,0.0,0.0
AU15+AU20,combo_2,weighted,795,0.4253829281998296,0.0386956521739129,0.6907317073170731,0.9111969111969112,0.7857935627081021
AU04+AU20,combo_2,weighted,795,0.42194427828230646,0.0299230769230768,0.6882352941176471,0.9034749034749034,0.7813021702838063
AU05+AU45,combo_2,weighted,795,0.421101383073214,inf,0.0,0.0,0.0
AU02+AU45,combo_2,weighted,795,0.4210089365018942,0.004017857142857,0.6954128440366972,0.9755469755469756,0.8119978575254418
AU04+AU05,combo_2,weighted,795,0.4180071419508039,3.4928571428571424,1.0,0.002574002574002574,0.005134788189987163
AU02+AU20,combo_2,weighted,795,0.4174651512679682,0.0046153846153846,0.6922365988909427,0.963963963963964,0.8058095750403442
AU04+AU45,combo_2,weighted,795,0.41679083510069426,0.0004651162790697,0.688230008984726,0.9858429858429858,0.8105820105820105
AU09+AU17,combo_2,weighted,795,0.40865372414668194,0.1090322580645161,0.6904315196998124,0.9472329472329473,0.7986977753662508
AU02+AU05,combo_2,weighted,795,0.40567911976362686,inf,0.0,0.0,0.0
AU05+AU26,combo_2,weighted,795,0.40189243569525257,0.0146341463414634,0.6916058394160584,0.9755469755469756,0.8093966898024559
AU02+AU04,combo_2,weighted,795,0.3988833904326862,3.854920634920634,1.0,0.002574002574002574,0.005134788189987163
AU17+AU23,combo_2,weighted,795,0.3979915529211304,0.0283870967741934,0.6886708296164139,0.9935649935649936,0.8134878819810327
