intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.8,0.0,1.0,10203,63839.538,1745,2.5526644983737805,0.0,0.0,2.0,57,15.97186339754816,0.0,978,10.432515337423313,2.0,65.27560122699387
1.8,0.0,1.5,8855,62178.053,1628,2.2154115586690017,0.0,0.0,2.0,49,15.556180385288966,0.0,978,9.054192229038854,2.0,63.57674130879346
1.8,0.0,2.0,7651,60093.852,1495,1.914185639229422,0.0,0.0,2.0,45,15.034739054290718,0.0,978,7.823108384458077,1.0,61.44565644171778
1.8,0.25,0.0,10815,64522.606999999996,1839,2.7057793345008756,0.0,0.0,2.0,66,16.142758819114334,0.0,978,11.058282208588958,2.0,65.97403578732107
1.8,0.25,0.3,10815,64522.606999999996,1839,2.7057793345008756,0.0,0.0,2.0,66,16.142758819114334,0.0,978,11.058282208588958,2.0,65.97403578732107
1.8,0.25,0.5,10815,64522.606999999996,1839,2.7057793345008756,0.0,0.0,2.0,66,16.142758819114334,0.0,978,11.058282208588958,2.0,65.97403578732107
1.8,0.25,1.0,9990,63887.07,1745,2.499374530898174,0.0,0.0,2.0,53,15.983755316487365,0.0,978,10.214723926380367,2.0,65.32420245398774
1.8,0.25,1.5,8666,62255.451,1628,2.168126094570928,0.0,0.0,2.0,49,15.57554440830623,0.0,978,8.860940695296524,2.0,63.655880368098146
1.8,0.25,2.0,7497,60230.41599999999,1495,1.8756567425569177,0.0,0.0,2.0,44,15.068905679259442,0.0,978,7.6656441717791415,1.0,61.585292433537816
1.8,0.5,0.0,10525,64628.380999999994,1839,2.6332249186890166,0.0,0.0,2.0,60,16.169222166624966,0.0,978,10.761758691206545,2.0,66.0821891615542
1.8,0.5,0.3,10525,64628.380999999994,1839,2.6332249186890166,0.0,0.0,2.0,60,16.169222166624966,0.0,978,10.761758691206545,2.0,66.0821891615542
1.8,0.5,0.5,10525,64628.380999999994,1839,2.6332249186890166,0.0,0.0,2.0,60,16.169222166624966,0.0,978,10.761758691206545,2.0,66.0821891615542
1.8,0.5,1.0,9717,64007.24399999999,1745,2.431073304978734,0.0,0.0,2.0,48,16.013821366024516,0.0,978,9.93558282208589,2.0,65.44707975460123
1.8,0.5,1.5,8443,62436.960999999996,1628,2.112334250688016,0.0,0.0,2.0,47,15.620955966975231,0.0,978,8.632924335378323,2.0,63.84147341513291
1.8,0.5,2.0,7329,60506.89299999999,1496,1.8336252189141857,0.0,0.0,2.0,42,15.138076807605701,0.0,978,7.493865030674846,1.0,61.867988752556236
1.8,1.0,0.0,10264,64819.983,1839,2.5679259444583438,0.0,0.0,2.0,58,16.217158618964223,0.0,978,10.494887525562373,2.0,66.27810122699387
1.8,1.0,0.3,10264,64819.983,1839,2.5679259444583438,0.0,0.0,2.0,58,16.217158618964223,0.0,978,10.494887525562373,2.0,66.27810122699387
1.8,1.0,0.5,10264,64819.983,1839,2.5679259444583438,0.0,0.0,2.0,58,16.217158618964223,0.0,978,10.494887525562373,2.0,66.27810122699387
1.8,1.0,1.0,9474,64212.41799999999,1745,2.3702777082812108,0.0,0.0,2.0,47,16.065153365023765,0.0,978,9.687116564417177,2.0,65.65686912065439
1.8,1.0,1.5,8260,62717.30099999999,1630,2.0665499124343256,0.0,0.0,2.0,46,15.691093570177632,0.0,978,8.445807770961146,2.0,64.12811963190184
1.8,1.0,2.0,7197,60876.79699999999,1498,1.8006004503377533,0.0,0.0,2.0,41,15.230622216662494,0.0,978,7.358895705521473,1.0,62.246213701431486
1.8,2.0,0.0,9990,65212.819,1839,2.499374530898174,0.0,0.0,2.0,54,16.31544133099825,0.0,978,10.214723926380367,2.0,66.67977402862985
1.8,2.0,0.3,9990,65212.819,1839,2.499374530898174,0.0,0.0,2.0,54,16.31544133099825,0.0,978,10.214723926380367,2.0,66.67977402862985
1.8,2.0,0.5,9990,65212.819,1839,2.499374530898174,0.0,0.0,2.0,54,16.31544133099825,0.0,978,10.214723926380367,2.0,66.67977402862985
1.8,2.0,1.0,9242,64638.721999999994,1745,2.312234175631724,0.0,0.0,2.0,45,16.17180935701776,0.0,978,9.449897750511248,2.0,66.09276278118608
1.8,2.0,1.5,8097,63230.46699999999,1631,2.0257693269952464,0.0,0.0,2.0,44,15.819481361020763,0.0,978,8.279141104294478,2.0,64.65282924335378
